Time,Heart Rate
0,94
1,94
2,93
7,93
11,91
12,92
15,93
18,95
21,96
24,97
29,97
33,98
35,99
36,100
40,101
41,104
42,105
45,106
47,110
48,111
49,113
51,114
52,115
53,117
54,118
56,120
57,119
59,118
61,121
63,126
64,130
65,136
70,135
74,134
79,135
81,136
82,137
83,138
84,139
85,140
88,139
91,138
94,137
95,136
97,135
99,134
100,133
105,133
109,134
111,135
116,136
119,137
120,138
122,140
123,142
127,141
133,141
136,140
137,139
138,138
139,137
140,135
144,134
145,133
149,135
151,136
152,135
156,132
157,131
160,130
164,129
168,131
169,133
170,134
175,135
179,137
180,139
181,140
182,141
185,142
186,145
187,146
192,146
196,147
198,149
202,148
205,149
206,150
207,151
209,152
211,153
212,152
217,152
219,153
222,152
223,150
227,151
228,150
230,149
233,150
236,151
237,150
239,147
240,141
242,134
243,131
244,129
245,127
247,128
249,127
250,125
252,124
253,125
255,126
256,127
259,125
261,124
262,122
263,120
268,121
273,121
277,120
279,119
283,118
285,116
288,115
289,114
291,113
295,111
298,113
299,114
303,116
304,117
305,118
307,120
309,122
310,125
311,126
312,128
313,130
317,131
318,133
319,131
322,132
324,134
325,136
329,138
330,139
331,140
333,141
334,142
339,143
340,144
342,145
347,145
352,145
354,146
358,144
359,143
361,144
366,144
367,143
370,144
371,146
372,149
373,150
375,149
377,151
378,154
379,156
380,155
382,154
384,155
389,154
391,156
396,156
400,155
401,154
402,152
404,151
409,151
410,150
412,149
413,148
414,147
416,150
418,149
424,149
425,148
430,148
433,149
436,148
439,147
444,146
445,145
446,144
448,143
452,142
454,141
455,140
460,140
464,139
468,141
469,142
470,143
474,144
479,144
485,144
488,143
489,142
492,143
494,142
498,143
499,142
501,141
503,139
504,138
505,137
506,136
507,138
512,139
514,140
516,141
521,141
523,140
525,139
527,140
531,139
533,140
539,140
541,142
542,144
543,146
545,147
548,148
553,148
558,148
560,149
565,148
566,147
567,146
572,146
577,146
578,147
583,147
589,148
595,148
599,147
603,146
604,145
605,144
607,143
610,142
611,140
616,140
617,141
620,140
623,139
625,140
626,141
629,142
631,143
636,143
641,143
644,142
646,141
647,140
652,139
653,137
654,136
659,135
660,136
665,138
667,140
670,139
672,138
677,138
680,139
682,140
686,141
688,142
692,144
693,145
698,145
703,145
708,145
713,146
718,146
720,144
724,145
725,144
730,144
735,144
740,144
741,145
746,145
747,147
748,148
749,149
752,150
753,151
754,152
760,151
765,151
766,150
767,149
770,147
772,146
777,145
782,144
783,143
788,143
790,145
791,146
795,147
798,148
802,150
804,151
809,151
810,150
815,151
820,150
822,151
823,152
826,153
828,152
831,153
832,154
833,155
835,156
840,156
845,156
846,155
851,156
852,157
853,158
857,159
862,160
864,159
869,160
874,160
875,159
881,159
882,160
887,160
891,161
892,163
897,163
901,162
903,160
906,159
909,158
910,157
911,155
912,154
913,153
918,152
922,150
923,148
927,147
928,146
931,145
933,144
938,143
943,143
944,144
945,147
947,146
948,145
954,145
956,146
961,146
962,145
963,144
965,145
967,146
973,146
974,145
977,144
982,144
985,145
986,144
991,144
992,146
997,145
1003,145
1009,145
1012,144
1016,145
1021,144
1022,143
1024,142
1027,143
1028,142
1030,141
1035,141
1040,141
1045,141
1046,140
1051,140
1055,141
1058,142
1064,142
1070,143
1072,144
1077,145
1079,144
1083,142
1084,141
1089,140
1092,139
1094,138
1095,136
1100,137
1101,138
1106,139
1107,140
1112,140
1113,141
1114,142
1115,143
1116,144
1119,145
1124,145
1125,144
1130,144
1131,145
1136,144
1139,145
1140,146
1143,145
1145,144
1148,146
1149,148
1150,149
1154,150
1155,151
1156,150
1157,149
1162,149
1165,150
1170,150
1175,151
1176,150
1180,149
1185,149
1186,148
1187,149
1192,150
1193,151
1198,154
1199,155
1204,155
1205,156
1208,155
1211,154
1212,151
1214,147
1215,146
1216,145
1217,143
1218,139
1220,136
1221,134
1224,132
1227,131
1229,130
1230,129
1232,128
1234,127
1235,126
1238,125
1239,128
1240,129
1241,131
1242,133
1244,135
1245,138
1246,139
1247,140
1250,141
1251,142
1252,146
1257,146
1259,147
1264,147
1269,147
1270,148
1271,149
1276,152
1277,153
1278,154
1280,155
1284,154
1286,153
1287,152
1288,151
1293,151
1296,150
1301,149
1305,150
1310,150
1313,152
1317,153
1319,154
1321,152
1322,151
1324,150
1327,149
1329,148
1330,147
1335,148
1339,149
1340,150
1341,152
1343,153
1345,155
1346,156
1347,157
1352,157
1353,158
1354,159
1357,160
1359,161
1360,160
1365,161
1367,160
1372,159
1373,158
1378,157
1379,156
1384,156
1389,155
1390,156
1392,155
1397,155
1401,156
1404,157
1406,159
1407,160
1412,160
1416,159
1418,158
1419,157
1424,157
1428,158
1432,155
1433,154
1436,153
1438,155
1443,154
1444,153
1445,152
1446,151
1450,150
1451,149
1452,147
1454,146
1455,145
1458,144
1460,142
1461,141
1462,137
1463,135
1467,134
1473,134
1475,133
1480,132
1483,131
1487,130
1492,130
1493,129
1497,128
1499,127
1503,126
1504,125
1507,124
1511,123
1516,123
1518,122
1519,121
1521,120
1525,121
1529,122
1530,123
1535,122
1536,121
1537,120
1539,119
1542,120
1545,119
1547,118
1550,117
1551,116
1553,115
1554,114
1559,114
1560,113
1563,111
1564,109
1566,108
1567,107
1569,108
1575,108
1581,108
1585,109
1590,110
1591,111
1596,111
1600,113
1601,115
1602,116
1607,116
1611,117
1615,117
1616,118
1621,118
1622,119
1627,120
1632,120
1636,119
1637,120
1642,120
1643,119
1644,118
1649,118
1650,117
1654,118
1658,122
1660,124
1661,127
1662,128
1663,129
1664,131
1669,132
1670,137
1672,139
1673,140
1674,141
1679,141
1680,142
1681,141
1686,141
1691,141
1692,142
1697,142
1700,143
1704,144
1705,145
1706,146
1711,146
1713,147
1717,148
1718,149
1719,148
1721,149
1728,149
1729,150
1733,151
1736,150
1737,151
1742,151
1747,152
1750,151
1754,150
1756,149
1761,149
1767,150
1773,151
1774,152
1777,153
1781,152
1783,149
1785,146
1786,144
1787,143
1792,143
1795,142
1797,141
1798,140
1799,139
1804,139
1807,138
